date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:33:50	35839/35839	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Mar%202023%2012:33:56%20GMT	https://cuwannstore.com/	F:/Tugas%20Sintong/BELAJAR/03b/Website%20Static%2003%20-%20TopUp%20Store/TopUpStore/cuwannstore.com/index.html	(from )
19:33:50	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5eb9d6662f4ef%22	https://cuwannstore.com/robots.txt		(from )
19:33:50	26520/26520	---M--	200	added ('OK')	image/png	etag:%226798-5ec1615f830b3%22	https://cuwannstore.com/assets/img/settings/1666954485Logo%20wanstore.png?v=2	F:/Tugas%20Sintong/BELAJAR/03b/Website%20Static%2003%20-%20TopUp%20Store/TopUpStore/cuwannstore.com/assets/img/settings/1666954485Logo%20wanstore5e1f.png	(from https://cuwannstore.com/)
19:33:51	266266/266266	---MCZ	200	added ('OK')	text/css	etag:W/%2250a30-5eb9d6662d5ae-gzip%22	https://cuwannstore.com/assets/scss/app.css	F:/Tugas%20Sintong/BELAJAR/03b/Website%20Static%2003%20-%20TopUp%20Store/TopUpStore/cuwannstore.com/assets/scss/app.css	(from https://cuwannstore.com/)
19:33:51	3908/3908	---MCZ	200	added ('OK')	text/css	etag:W/%2213e6-5eb9d6661dba8-gzip%22	https://cuwannstore.com/assets/css/app.css	F:/Tugas%20Sintong/BELAJAR/03b/Website%20Static%2003%20-%20TopUp%20Store/TopUpStore/cuwannstore.com/assets/css/app.css	(from https://cuwannstore.com/)
19:33:51	4110/4110	---MCZ	200	added ('OK')	text/css	etag:W/%22138f-5eb9d6662e54e-gzip%22	https://cuwannstore.com/assets/scss/chatbox.css	F:/Tugas%20Sintong/BELAJAR/03b/Website%20Static%2003%20-%20TopUp%20Store/TopUpStore/cuwannstore.com/assets/scss/chatbox.css	(from https://cuwannstore.com/)
19:33:51	6650/6650	---M-Z	200	added ('OK')	text/css	etag:%2219fa-5eb9d6658270d-gzip%22	https://cuwannstore.com/assets/admin/assets/plugins/bootstrap-select/bootstrap-select.min.css	F:/Tugas%20Sintong/BELAJAR/03b/Website%20Static%2003%20-%20TopUp%20Store/TopUpStore/cuwannstore.com/assets/admin/assets/plugins/bootstrap-select/bootstrap-select.min.css	(from https://cuwannstore.com/)
19:33:52	19469/19469	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Mar%202023%2012:33:58%20GMT	https://cuwannstore.com/order/:slug	F:/Tugas%20Sintong/BELAJAR/03b/Website%20Static%2003%20-%20TopUp%20Store/TopUpStore/cuwannstore.com/order/_slug	(from https://cuwannstore.com/)
19:33:52	1178/1178	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2249a-5eb9d666229ca%22	https://cuwannstore.com/assets/img/wave.svg	F:/Tugas%20Sintong/BELAJAR/03b/Website%20Static%2003%20-%20TopUp%20Store/TopUpStore/cuwannstore.com/assets/img/wave.svg	(from https://cuwannstore.com/)
19:33:52	4353956/4353956	---MCZ	200	added ('OK')	application/javascript	etag:W/%22428f44-5eb9d6662490b-gzip%22	https://cuwannstore.com/assets/js/app.js	F:/Tugas%20Sintong/BELAJAR/03b/Website%20Static%2003%20-%20TopUp%20Store/TopUpStore/cuwannstore.com/assets/js/app.js	(from https://cuwannstore.com/)
